S.N,NAMES,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,WOOD.DENSITY,COUNT,PLOT,BA,VOLUME,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha,VOL.m3.ha,LIVE.CROWN.LEAVES,TREE.BRANCHES,TREE.BARK,TREE.STEM,FOLIAGE.BIOMASS,FOLIAGE_LEAVES
2770,Maple,Acer saccharum,32.8,65.7,12.2,0.71,1,P9,0.339016332,11.11973568,5131.256037,5.131256037,1368.334943,1.368334943,2411.690337,2.411690337,364.8893182,0.364889318,2.965262849,355.3646906,370.0546959,482.9691751,-148.6375405,174.2064194,894.9648824
2771,Poplar,Populus tremula,26.7,57.6,5.5,0.42,1,P9,0.260576261,6.95738617,1945.028863,1.945028863,518.6743635,0.518674363,914.1635657,0.914163566,138.3131636,0.138313164,1.855302979,247.3282626,343.1218831,184.9198756,895.9025577,21.44358709,882.6142372
2772,Poplar,Populus tremula,43.5,79,11.1,0.42,1,P9,0.490166994,21.32226423,5802.831617,5.802831617,1547.421764,1.547421764,2727.33086,2.72733086,412.6458039,0.412645804,5.685937128,382.3994356,777.4196862,362.4054129,-136.8044792,168.2463328,62.73306264
2773,Beech,Fagus sylvatica,27.5,51,4.5,0.67,1,P9,0.204282062,5.617756713,2490.174403,2.490174403,664.0465074,0.664046507,1170.381969,1.170381969,177.0790686,0.177079069,1.498068457,449.929666,81.23284105,27.04597343,379.8838363,118.6835966,95.65372966
2774,Willow,Salix alba,32.4,42.8,4.9,0.47,1,P9,0.143872377,4.66146502,1468.428283,1.468428283,391.5808754,0.391580875,690.1612929,0.690161293,104.4215668,0.104421567,1.243057339,230.5643281,327.3835554,151.8654035,490.4451151,134.0814082,964.6541516
2775,Ash,Fraxinus excelsior,20.3,48.3,6.4,0.67,1,P9,0.183224752,3.719462468,1665.117955,1.665117955,444.0314547,0.444031455,782.6054389,0.782605439,118.4083879,0.118408388,0.991856658,91.65202763,708.4753773,191.994299,1807.402448,93.50675272,247.1791246
2776,Maple,Acer saccharum,30.1,70.1,9.8,0.71,1,P9,0.385945443,11.61695783,5355.076549,5.355076549,1428.020413,1.428020413,2516.885978,2.516885978,380.8054435,0.380805444,3.097855422,284.8447248,169.4599839,65.10271195,878.5241849,198.9955046,666.7431669
2777,Larch,Larix decidua,29.9,67.8,6.2,0.59,1,P9,0.361034969,10.79494558,4160.850098,4.160850098,1109.560026,1.109560026,1955.599546,1.955599546,295.8826736,0.295882674,2.878652156,132.3539959,94.17457415,347.4630741,1215.509987,48.8876745,189.08432
2778,Maple,Acer saccharum,24.1,49.7,6,0.71,1,P9,0.194000415,4.67541,2202.822567,2.202822567,587.4193511,0.587419351,1035.326606,1.035326606,156.6451603,0.15664516,1.246776,444.9251391,344.6113597,435.4630405,417.979855,108.3533023,554.3354344
2779,Willow,Salix alba,20.2,45.4,3.3,0.47,1,P9,0.161883128,3.270039183,1038.911455,1.038911455,277.0430547,0.277043055,488.288384,0.488288384,73.87814793,0.073878148,0.872010449,370.2622889,837.5000216,81.06108177,331.6727157,56.40878909,479.3594183
2780,Beech,Fagus sylvatica,26,41.3,7.3,0.67,1,P9,0.133964579,3.483079063,1561.75376,1.56175376,416.4676692,0.416467669,734.024267,0.734024267,111.0580451,0.111058045,0.928821083,173.5040077,874.8541545,429.4704123,608.1884536,79.88939132,732.5612181
2781,Willow,Salix alba,20.6,45.6,4.4,0.47,1,P9,0.163312553,3.364238582,1068.110916,1.068110916,284.8295776,0.284829578,502.0121305,0.502012131,75.95455402,0.075954554,0.897130288,169.1848468,544.7321523,490.9110491,1054.09748,34.65138482,947.1318316
2782,Cypress,Cupressus sempervirens,23.9,45.3,6.2,0.47,1,P9,0.161170772,3.851981444,1218.996939,1.218996939,325.0658505,0.325065851,572.9285615,0.572928562,86.6842268,0.086684227,1.027195052,163.0894012,990.7802327,446.8303569,1532.613848,167.0590107,189.5077249
2783,Maple,Acer saccharum,30.1,57.8,6.8,0.71,1,P9,0.26238896,7.897907697,3674.576158,3.674576158,979.8869755,0.979886976,1727.050794,1.727050794,261.3031935,0.261303193,2.106108719,328.2823884,86.68724952,59.03223213,385.2199547,51.88852448,434.266167
2784,Fir,Abies alba,20.4,45.9,5.5,0.42,1,P9,0.16546847,3.375556797,960.204589,0.960204589,256.0545571,0.256054557,451.2961568,0.451296157,68.28121522,0.068281215,0.900148479,377.938143,175.730844,395.6459316,200.8361266,173.6558962,393.599809
2785,Beech,Fagus sylvatica,25.3,53,7.2,0.67,1,P9,0.220618344,5.581644106,2474.549797,2.474549797,659.8799458,0.659879946,1163.038404,1.163038404,175.9679855,0.175967986,1.488438428,90.81748396,683.0479012,151.9941108,1171.110936,105.2780025,409.0864834
2786,Walnut,Juglans regia,43,77.6,16.2,0.61,1,P9,0.472947924,20.33676075,7975.763649,7.975763649,2126.870306,2.126870306,3748.608915,3.748608915,567.165415,0.567165415,5.4231362,195.9919144,241.8298559,126.7360963,1239.449299,113.0416979,816.0014404
2787,Birch,Betula pendula,26.2,42.4,6.4,0.67,1,P9,0.14119574,3.699328394,1656.320145,1.656320145,441.6853721,0.441685372,778.4704683,0.778470468,117.7827659,0.117782766,0.986487572,369.7657443,315.1817616,457.1517979,301.4920496,20.80715785,167.7247374
2788,Walnut,Juglans regia,36.4,48,5.1,0.61,1,P9,0.180955737,6.586788821,2654.085009,2.654085009,707.7560024,0.707756002,1247.419954,1.247419954,188.734934,0.188734934,1.756477019,254.6482248,367.6509066,364.0709217,1259.176872,132.6819346,272.1370415
2789,Cedar,Cedrus libani,27.1,65.6,5.9,0.56,1,P9,0.337985104,9.15939632,3368.378611,3.368378611,898.2342962,0.898234296,1583.137947,1.583137947,239.5291457,0.239529146,2.442505685,161.2361409,632.1775691,38.54368303,1403.454655,30.19619069,455.4194742
2790,Spruce,Picea abies,25.5,44.4,3.9,0.43,1,P9,0.154830252,3.948171435,1144.867035,1.144867035,305.297876,0.305297876,538.0875065,0.538087507,81.41276694,0.081412767,1.052845716,60.07684559,76.36496394,102.42696,1327.897845,165.6363411,647.0613202
2791,Walnut,Juglans regia,28.8,63.7,4,0.61,1,P9,0.318690227,9.178278548,3668.970528,3.668970528,978.3921408,0.978392141,1724.416148,1.724416148,260.9045709,0.260904571,2.447540946,51.29039337,201.6082888,56.68751173,886.691287,139.0616852,372.8527795
2792,Magnolia,Magnolia grandiflora,25.2,52.5,4.1,0.6,1,P9,0.216475369,5.455179293,2172.744067,2.172744067,579.3984178,0.579398418,1021.189711,1.021189711,154.5062447,0.154506245,1.454714478,465.3500064,547.6757202,173.0886322,640.5891003,159.555568,634.6005069
2793,Pine,Pinus sylvestris,21.6,42.8,3.7,0.45,1,P9,0.143872377,3.107643347,947.4484201,0.94744842,252.652912,0.252652912,445.3007574,0.445300757,67.37410987,0.06737411,0.828704892,499.4899879,928.8802329,415.3993409,926.8267943,176.5677286,622.1208672
2794,Walnut,Juglans regia,22.5,46.4,7.2,0.61,1,P9,0.169093083,3.804594367,1553.353209,1.553353209,414.2275224,0.414227522,730.0760082,0.730076008,110.4606726,0.110460673,1.014558498,36.03675223,63.26062543,161.2282461,432.7877516,186.9044054,618.2522385
2795,Cedar,Cedrus libani,20.8,42.2,7.8,0.56,1,P9,0.139866847,2.909230408,1099.73057,1.09973057,293.2614854,0.293261485,516.8733681,0.516873368,78.20306279,0.078203063,0.775794775,277.2396603,324.0337325,299.0208533,192.7506913,97.0816187,936.3537042
2796,Spruce,Picea abies,25.6,54.8,4.9,0.43,1,P9,0.23585821,6.037970178,1733.094058,1.733094058,462.1584154,0.462158415,814.5542071,0.814554207,123.2422441,0.123242244,1.610125381,261.5696937,117.9571953,136.7677565,637.0111921,130.6651049,169.2739625
2797,Birch,Betula pendula,30.5,43.8,5.7,0.67,1,P9,0.150673925,4.59555472,2046.907318,2.046907318,545.8419513,0.545841951,962.0464392,0.962046439,145.5578537,0.145557854,1.225481259,306.4616018,154.3097958,28.89868472,1123.929874,135.2857359,897.8595858
2798,Cypress,Cupressus sempervirens,22.2,46.5,5.1,0.47,1,P9,0.169822718,3.770064337,1193.689134,1.193689134,318.3171025,0.318317102,561.0338931,0.561033893,84.88456066,0.084884561,1.00535049,210.0989501,89.25715578,55.80289952,296.3540125,133.6112833,271.0260453
2799,Cedar,Cedrus libani,22.5,51.4,4.8,0.56,1,P9,0.207499053,4.668728696,1744.924838,1.744924838,465.31329,0.46531329,820.1146737,0.820114674,124.083544,0.124083544,1.244994319,478.7055518,216.7892476,192.0685304,1618.994538,63.66172148,172.4170693
2800,Poplar,Populus tremula,24.1,43.1,4.5,0.42,1,P9,0.145896348,3.516101992,999.2050874,0.999205087,266.45469,0.26645469,469.6263911,0.469626391,71.05458399,0.071054584,0.937627198,297.7881176,968.4181685,449.6573195,-14.27104392,64.24356886,468.2592484
2801,Maple,Acer saccharum,27.1,47.6,5.6,0.71,1,P9,0.177952374,4.822509343,2270.43991,2.27043991,605.4506426,0.605450643,1067.106758,1.067106758,161.4535047,0.161453505,1.286002491,348.7123309,370.7130142,250.6757391,216.388128,144.0580278,180.6480222
2802,Hemlock,Tsuga canadensis,29.6,62.1,7.9,0.45,1,P9,0.302881733,8.965299301,2664.685699,2.664685699,710.5828532,0.710582853,1252.402279,1.252402279,189.4887608,0.189488761,2.39074648,393.1141237,636.3843035,390.5080124,606.1331351,36.59034884,125.685868
2803,Oak,Quercus robur,34.5,66.2,8.9,0.7,1,P9,0.344196033,11.87476313,5395.814159,5.395814159,1438.883776,1.438883776,2536.032655,2.536032655,383.7023402,0.38370234,3.166603501,462.5056327,607.8691993,194.5041735,694.2254722,54.71724018,286.5389831
2804,Pine,Pinus sylvestris,32.2,83.5,12.2,0.45,1,P9,0.547599234,17.63269535,5156.438099,5.156438099,1375.05016,1.37505016,2423.525907,2.423525907,366.6800426,0.366680043,4.702052093,425.3488094,607.238621,185.1310632,205.3305704,81.34898341,61.38083539
2805,Fir,Abies alba,20.8,41.7,8.5,0.42,1,P9,0.136572101,2.840699706,811.4126346,0.811412635,216.3767026,0.216376703,381.3639383,0.381363938,57.70045402,0.057700454,0.757519922,136.2499838,900.6421628,265.5804078,886.4508968,189.0712519,711.5934565
2806,Beech,Fagus sylvatica,25.5,49.5,3.3,0.67,1,P9,0.192442185,4.907275717,2182.310972,2.182310972,581.9495924,0.581949592,1025.686157,1.025686157,155.186558,0.155186558,1.308606858,447.1987848,85.85108699,205.6853602,199.1228368,57.24629742,603.4463503
2807,Cedar,Cedrus libani,24.1,43,5.5,0.56,1,P9,0.14522012,3.499804902,1317.120889,1.317120889,351.232237,0.351232237,619.0468177,0.619046818,93.66192986,0.09366193,0.933281307,175.3031664,194.4989069,89.12628513,342.5252459,47.07070424,858.2565564
2808,Pine,Pinus sylvestris,28.2,51.2,6.9,0.45,1,P9,0.205887416,5.806025135,1743.767468,1.743767468,465.0046582,0.465004658,819.5707101,0.81957071,124.0012422,0.124001242,1.548273369,305.3991869,962.2936807,395.0723277,558.0305545,157.2209943,155.55777
2809,Maple,Acer saccharum,26.1,48.1,5.3,0.71,1,P9,0.181710504,4.742644167,2233.734422,2.233734422,595.6625126,0.595662513,1049.855178,1.049855178,158.8433367,0.158843337,1.264705111,292.3930196,538.0966281,45.81613526,1464.949546,155.1541893,959.3397753
2810,Maple,Acer saccharum,23.7,51.2,4.8,0.71,1,P9,0.205887416,4.879531763,2296.638083,2.296638083,612.4368222,0.612436822,1079.419899,1.079419899,163.3164859,0.163316486,1.30120847,15.91242244,530.3709467,418.1446169,490.8165067,67.84515852,746.6875032
2811,Poplar,Populus tremula,24.8,42.7,3.5,0.42,1,P9,0.143200862,3.551381371,1008.988983,1.008988983,269.0637288,0.269063729,474.2248219,0.474224822,71.75032767,0.071750328,0.947035032,78.82277607,499.4688608,186.3718727,294.6700996,15.80458308,665.04444
2812,Cedar,Cedrus libani,20.1,51.3,7.2,0.56,1,P9,0.206692449,4.15451823,1557.094703,1.557094703,415.2252542,0.415225254,731.8345104,0.73183451,110.7267344,0.110726734,1.107871528,358.7144051,758.6317555,59.23013065,1538.002893,112.0849608,956.2942289
2813,Hemlock,Tsuga canadensis,23.4,43.3,8.8,0.45,1,P9,0.147253516,3.44573228,1047.923376,1.047923376,279.4462335,0.279446234,492.5239866,0.492523987,74.51899561,0.074518996,0.918861941,153.1950908,280.1274807,219.2831142,146.3593277,54.45017804,90.69521723
2814,Cedar,Cedrus libani,21.9,41,3.7,0.56,1,P9,0.132025431,2.891356945,1093.135814,1.093135814,291.5028836,0.291502884,513.7738324,0.513773832,77.7341023,0.077734102,0.771028519,130.5068611,263.1898488,438.8120275,694.8569406,34.1044621,243.6013475
2815,Yew,Taxus baccata,32,43.5,14.1,0.64,1,P9,0.148616967,4.755742959,2023.970262,2.023970262,539.7254033,0.539725403,951.2660233,0.951266023,143.9267742,0.143926774,1.268198122,179.8085652,790.1037429,380.8678342,-126.0227484,12.07346486,955.3545184
2816,Cherry,Prunus avium,32.9,42.7,11.3,0.72,1,P9,0.143200862,4.711308351,2249.83148,2.24983148,599.9550613,0.599955061,1057.420796,1.057420796,159.9880164,0.159988016,1.256348894,419.0930932,170.9241328,209.199963,-9.66634166,58.80558466,118.5587918
2817,Cypress,Cupressus sempervirens,24.6,41.4,3.2,0.47,1,P9,0.134614104,3.311506949,1051.767881,1.051767881,280.4714348,0.280471435,494.3309039,0.494330904,74.79238262,0.074792383,0.88306852,33.84704022,301.0013526,220.9889875,958.4498547,44.99553233,697.1998796
2818,Locust,Robinia pseudoacacia,24.3,48.3,4.4,0.69,1,P9,0.183224752,4.452361477,2042.435258,2.042435258,544.6494022,0.544649402,959.9445714,0.959944571,145.2398406,0.145239841,1.187296394,392.8662577,147.8745386,345.7243979,43.7773772,161.4962399,875.5863426
2819,Walnut,Juglans regia,33.9,53.6,7.4,0.61,1,P9,0.225641751,7.64925535,3071.153744,3.071153744,818.9743319,0.818974332,1443.44226,1.44344226,218.3931552,0.218393155,2.039801427,35.97399023,137.7539534,369.1233185,59.27773773,48.56267691,579.5297698
2820,Oak,Quercus robur,32.2,40.9,10.8,0.7,1,P9,0.13138219,4.230506524,1970.525137,1.970525137,525.4733698,0.52547337,926.1468143,0.926146814,140.126232,0.140126232,1.128135073,443.6145988,337.1427822,346.6530038,1628.269036,118.2763607,539.0613561
2821,Cherry,Prunus avium,21.1,41.8,3.5,0.72,1,P9,0.137227909,2.895508874,1398.966643,1.398966643,373.0577713,0.373057771,657.514322,0.657514322,99.48207236,0.099482072,0.7721357,342.631651,89.51614014,72.59211678,856.2981674,60.28715538,243.8817806
2822,Yew,Taxus baccata,32.6,57.6,11.4,0.64,1,P9,0.260576261,8.494786111,3565.264741,3.565264741,950.7372641,0.950737264,1675.674428,1.675674428,253.5299371,0.253529937,2.265276296,443.1955075,727.76111,345.611883,379.5060504,199.7790974,441.3350191
2823,Ash,Fraxinus excelsior,25.8,47.1,6.5,0.67,1,P9,0.174233514,4.49522466,2003.280278,2.003280278,534.208074,0.534208074,941.5417305,0.94154173,142.4554864,0.142455486,1.198726576,283.7098383,73.56855915,302.1394073,-181.0687653,62.87781267,93.81010205
2824,Maple,Acer saccharum,31.2,57.5,8.2,0.71,1,P9,0.259672268,8.101774755,3767.122381,3.767122381,1004.565968,1.004565968,1770.547519,1.770547519,267.8842582,0.267884258,2.160473268,361.5786054,904.5505251,131.2568542,946.417547,27.70961862,754.1192463
2825,Birch,Betula pendula,30.4,57.3,7.7,0.67,1,P9,0.257868994,7.839217405,3447.20024,3.44720024,919.2533974,0.919253397,1620.184113,1.620184113,245.1342393,0.245134239,2.090457975,345.1706097,832.1137389,139.1294381,659.0358388,56.23698651,854.0444763
2826,Beech,Fagus sylvatica,44.3,84.5,14.8,0.67,1,P9,0.560793924,24.84317082,10626.21024,10.62621024,2833.656065,2.833656065,4994.318814,4.994318814,755.6416173,0.755641617,6.624845551,331.6583817,994.982072,249.7643129,959.2711697,78.48347431,726.4918055
2827,Poplar,Populus tremula,27.7,62.3,3.2,0.42,1,P9,0.304835804,8.443951764,2349.67228,2.34967228,626.5792746,0.626579275,1104.345972,1.104345972,167.0878066,0.167087807,2.25172047,234.2989814,955.4051092,37.66928982,263.1008391,130.0092763,909.0696816
2828,Locust,Robinia pseudoacacia,23.1,40.5,5.8,0.69,1,P9,0.128824934,2.97585597,1378.380989,1.378380989,367.5682636,0.367568264,647.8390647,0.647839065,98.01820364,0.098018204,0.793561592,146.9299632,542.4839079,276.1493476,974.5551222,164.0934632,913.8283762
2829,Cherry,Prunus avium,26,45.2,3.5,0.72,1,P9,0.160459986,4.171959646,1998.093436,1.998093436,532.8249163,0.532824916,939.103915,0.939103915,142.0866443,0.142086644,1.112522572,79.28130479,349.5123378,396.0842599,108.2831327,15.62429746,137.8194747
2830,Yew,Taxus baccata,44.6,90.2,15.5,0.64,1,P9,0.639003087,28.4995377,11618.78465,11.61878465,3098.342573,3.098342573,5460.828785,5.460828785,826.2246861,0.826224686,7.599876719,410.0578731,559.9713841,332.7825626,112.6654707,59.77114985,251.6126451
2831,Willow,Salix alba,41.9,73.3,15.8,0.47,1,P9,0.421985794,17.68120476,5394.44064,5.39444064,1438.517504,1.438517504,2535.387101,2.535387101,383.6046677,0.383604668,4.714987936,170.7307158,837.0462915,258.9328273,116.970209,18.81999757,488.9395077
2832,Magnolia,Magnolia grandiflora,25,50.8,4.9,0.6,1,P9,0.202682992,5.067074791,2021.743705,2.021743705,539.1316545,0.539131655,950.2195411,0.950219541,143.7684412,0.143768441,1.351219944,310.0097647,440.2700276,184.6312068,1677.96415,143.9873202,760.1972707
2833,Willow,Salix alba,29.8,65.6,8.3,0.47,1,P9,0.337985104,10.0719561,3114.68364,3.11468364,830.5823041,0.830582304,1463.901311,1.463901311,221.4886144,0.221488614,2.68585496,57.0749067,884.6016848,423.6748295,1200.717318,163.6237414,315.1355638
2834,Magnolia,Magnolia grandiflora,21.3,41.6,7.3,0.6,1,P9,0.135917865,2.895050515,1170.73704,1.17073704,312.1965441,0.312196544,550.2464089,0.550246409,83.25241175,0.083252412,0.772013471,377.3626469,781.6870904,299.8059858,312.3590147,109.9791184,154.2910726
2835,Oak,Quercus robur,26.2,48.4,5.7,0.7,1,P9,0.183984232,4.820386883,2238.262185,2.238262185,596.8699161,0.596869916,1051.983227,1.051983227,159.165311,0.159165311,1.285436502,182.0817362,736.6296264,161.0060009,63.87072386,79.07854,343.1291367
2836,Cedar,Cedrus libani,27.9,51.6,6.2,0.56,1,P9,0.209116973,5.834363558,2168.944796,2.168944796,578.385279,0.578385279,1019.404054,1.019404054,154.2360744,0.154236074,1.555830282,321.2726908,734.0275442,169.8005313,1173.592681,170.7054389,859.4218895
2837,Yew,Taxus baccata,32.5,83.5,11.2,0.64,1,P9,0.547599234,17.79697512,7337.986008,7.337986008,1956.796269,1.956796269,3448.853424,3.448853424,521.8123383,0.521812338,4.745860032,328.4992116,558.0102424,53.43382701,855.1507743,153.4282109,430.7711988
2838,Spruce,Picea abies,20.9,40.7,6,0.43,1,P9,0.13010042,2.719098786,795.5570687,0.795557069,212.1485517,0.212148552,373.9118223,0.373911822,56.57294711,0.056572947,0.72509301,235.4606215,453.843348,388.3608792,1225.241414,37.90051127,562.2082372
2839,Spruce,Picea abies,43.6,86.7,12.5,0.43,1,P9,0.59037516,25.74035698,7135.630755,7.135630755,1902.834868,1.902834868,3353.746455,3.353746455,507.4226315,0.507422631,6.864095194,406.3421899,347.0819173,94.07336105,39.95114427,187.9858642,950.120321
2840,Cypress,Cupressus sempervirens,27,56.3,6.8,0.47,1,P9,0.24894687,6.721565502,2098.872195,2.098872195,559.6992519,0.559699252,986.4699314,0.986469931,149.2531338,0.149253134,1.792417467,190.4511767,845.3394087,81.74353421,1646.17442,55.49164423,555.3179412
2841,Fir,Abies alba,35.1,63.1,7.1,0.42,1,P9,0.312714918,10.97629363,3035.172835,3.035172835,809.3794226,0.809379423,1426.531232,1.426531232,215.8345127,0.215834513,2.927011634,251.9392457,749.2833804,54.47693106,1204.45242,198.2062331,359.1360564
2842,Cedar,Cedrus libani,27.1,47.7,7.9,0.56,1,P9,0.178700859,4.842793271,1808.391605,1.808391605,482.2377614,0.482237761,849.9440545,0.849944055,128.5967364,0.128596736,1.291411539,12.99410123,225.0694686,66.17039129,78.63370963,101.1445386,186.1074119
2843,Beech,Fagus sylvatica,20.9,40.4,6.5,0.67,1,P9,0.128189547,2.679161525,1208.88022,1.20888022,322.3680587,0.322368059,568.1737034,0.568173703,85.96481564,0.085964816,0.714443073,94.95267519,374.8961608,259.5529861,522.4038178,30.02372826,412.5128814
2844,Pine,Pinus sylvestris,25.9,52.4,4.9,0.45,1,P9,0.215651486,5.58537349,1679.058082,1.679058082,447.748822,0.447748822,789.1572987,0.789157299,119.3996859,0.119399686,1.489432931,422.2582684,663.1918337,278.8038498,588.209252,177.6178935,740.7661711
2845,Fir,Abies alba,22.1,49.8,9.3,0.42,1,P9,0.194781886,4.304679683,1217.376483,1.217376483,324.6337288,0.324633729,572.1669469,0.572166947,86.56899433,0.086568994,1.147914582,214.4199553,298.8944498,477.4144513,1407.617126,184.1265656,225.4411807
2846,Cherry,Prunus avium,24.8,58,6.3,0.72,1,P9,0.264207942,6.552356966,3104.329877,3.104329877,827.8213005,0.8278213,1459.035042,1.459035042,220.7523468,0.220752347,1.747295191,339.528825,127.5492548,438.5022014,-224.4674693,66.16651193,469.801015
2847,Cherry,Prunus avium,28,58.7,6,0.72,1,P9,0.27062386,7.577468073,3577.497945,3.577497945,953.999452,0.953999452,1681.424034,1.681424034,254.3998539,0.254399854,2.020658153,265.1463121,739.9380732,421.5881789,339.8890219,192.0386884,77.09480418
2848,Willow,Salix alba,28.1,44.4,6.4,0.47,1,P9,0.154830252,4.350730091,1372.813368,1.372813368,366.0835647,0.366083565,645.2222828,0.645222283,97.62228393,0.097622284,1.160194691,492.135687,121.1845474,260.9089059,903.4647114,38.28952386,349.4590575
2849,Yew,Taxus baccata,26.2,51.7,5.9,0.64,1,P9,0.20992829,5.50012119,2332.611,2.332611,622.0295999,0.6220296,1096.32717,1.09632717,165.87456,0.16587456,1.466698984,196.2988643,311.1880274,243.2232055,1546.936615,119.1830219,425.2723571
2850,Oak,Quercus robur,31,77,6,0.7,1,P9,0.465662571,14.4355397,6528.744305,6.528744305,1740.998481,1.740998481,3068.509823,3.068509823,464.2662617,0.464266262,3.849477254,186.5926872,194.6547596,353.8626174,979.0126748,65.77935259,503.3704569
2851,Pine,Pinus sylvestris,21.8,55.1,3,0.45,1,P9,0.238447668,5.198159158,1565.351726,1.565351726,417.4271269,0.417427127,735.7153111,0.735715311,111.3139005,0.1113139,1.386175776,264.8731072,153.688908,469.2500689,1468.796059,37.06486796,214.9214142
2852,Walnut,Juglans regia,28.3,43.3,12.4,0.61,1,P9,0.147253516,4.16727451,1697.715516,1.697715516,452.7241377,0.452724138,797.9262927,0.797926293,120.7264367,0.120726437,1.111273203,483.8013154,317.4177446,160.7785743,993.38034,67.69856428,405.5687623
2853,Yew,Taxus baccata,20.6,52.5,5.4,0.64,1,P9,0.216475369,4.459392597,1900.781018,1.900781018,506.874938,0.506874938,893.3670782,0.893367078,135.1666501,0.13516665,1.189171359,426.6668055,205.8069284,347.8849583,739.8134535,78.6681655,948.7384155
2854,Cedar,Cedrus libani,27.4,54.9,5.9,0.56,1,P9,0.236719792,6.486122297,2405.117754,2.405117754,641.3647345,0.641364735,1130.405345,1.130405345,171.0305959,0.171030596,1.729632612,324.4574294,564.67822,412.11438,1383.978197,135.5228248,533.1905622
2855,Magnolia,Magnolia grandiflora,41,71.8,15.3,0.6,1,P9,0.404891603,16.60055571,6437.580072,6.437580072,1716.688019,1.716688019,3025.662634,3.025662634,457.7834718,0.457783472,4.426814857,47.44269697,654.0738054,124.9125995,783.3634186,57.09896229,916.7074896
2856,Poplar,Populus tremula,33.5,80.7,12.9,0.42,1,P9,0.511489769,17.13490725,4687.78023,4.68778023,1250.074728,1.250074728,2203.256708,2.203256708,333.3532608,0.333353261,4.569308599,490.2901121,632.076792,450.6726975,-166.9424062,69.37448795,850.1494163
2857,Oak,Quercus robur,21.2,70.5,3.1,0.7,1,P9,0.390362522,8.27568547,3793.147299,3.793147299,1011.505946,1.011505946,1782.77923,1.78277923,269.734919,0.269734919,2.206849459,341.4124653,735.3136162,134.804821,398.5576665,114.1662913,417.9987255
2858,Ash,Fraxinus excelsior,25.7,54,4.2,0.67,1,P9,0.229022104,5.885868084,2606.102058,2.606102058,694.9605488,0.694960549,1224.867967,1.224867967,185.322813,0.185322813,1.569564822,409.9923245,897.5729716,489.1440456,1503.377513,159.4269258,606.9917769
2859,Larch,Larix decidua,27.8,52.8,5.6,0.59,1,P9,0.218956442,6.086989076,2378.678599,2.378678599,634.314293,0.634314293,1117.978941,1.117978941,169.1504781,0.169150478,1.623197087,38.66355739,306.312066,340.9208613,1197.819915,124.3963805,420.530885
2860,Redwood,Sequoia sempervirens,23.2,63.9,5,0.48,1,P9,0.320694563,7.440113873,2365.704306,2.365704306,630.8544815,0.630854481,1111.881024,1.111881024,168.2278617,0.168227862,1.984030366,392.8947243,731.5764282,477.1513259,1069.43673,10.47650961,225.5328005
2861,Birch,Betula pendula,22.5,43.5,4.2,0.67,1,P9,0.148616967,3.343881768,1500.808356,1.500808356,400.2155615,0.400215561,705.3799271,0.705379927,106.7241497,0.10672415,0.891701805,206.244989,984.7652686,286.2277106,955.9259385,171.3266932,736.0716539
2862,Pine,Pinus sylvestris,23.3,51.4,3.7,0.45,1,P9,0.207499053,4.834727939,1458.444358,1.458444358,388.9184956,0.388918496,685.4688485,0.685468848,103.7115988,0.103711599,1.289260784,466.5762591,349.6686021,59.66067147,161.0973952,145.9068551,925.1949801
2863,Spruce,Picea abies,26.5,70.7,3.9,0.43,1,P9,0.392580487,10.40338289,2947.371947,2.947371947,785.9658525,0.785965852,1385.264815,1.385264815,209.590894,0.209590894,2.774235438,368.8604802,688.0528338,328.7015564,68.30810571,193.2080857,233.1016851
2864,Fir,Abies alba,32.3,63.3,7.6,0.42,1,P9,0.314700405,10.16482307,2815.970335,2.815970335,750.9254227,0.750925423,1323.506057,1.323506057,200.2467794,0.200246779,2.710619486,155.6567341,396.2726458,158.8504038,276.8957142,41.69140903,411.8018467
2865,Beech,Fagus sylvatica,22.5,40.4,5.4,0.67,1,P9,0.128189547,2.884264799,1299.124084,1.299124084,346.433089,0.346433089,610.5883194,0.610588319,92.38215707,0.092382157,0.76913728,268.0851709,255.5400234,357.9229962,39.67975269,144.7247861,574.3730575
2866,Cherry,Prunus avium,22.7,58.4,3.2,0.72,1,P9,0.267864756,6.080529962,2885.962575,2.885962575,769.5900201,0.76959002,1356.40241,1.35640241,205.2240054,0.205224005,1.621474656,138.0579188,624.4727129,43.43363293,995.0411757,157.2933342,160.8799448
2867,Cherry,Prunus avium,20.8,52.1,6.7,0.72,1,P9,0.213189263,4.434336668,2120.648216,2.120648216,565.506191,0.565506191,996.7046616,0.996704662,150.8016509,0.150801651,1.182489778,125.1608701,855.9356385,285.4815872,1370.105735,79.82555999,722.567549
2868,Cedar,Cedrus libani,20.5,46.6,5.4,0.56,1,P9,0.170553924,3.496355433,1315.853853,1.315853853,350.8943607,0.350894361,618.4513107,0.618451311,93.57182952,0.09357183,0.932361449,56.38990156,232.1160025,428.9562886,-294.0828006,77.16094936,501.0923248
2869,Pine,Pinus sylvestris,38,72.5,8.4,0.45,1,P9,0.41282491,15.68734657,4600.436673,4.600436673,1226.783113,1.226783113,2162.205236,2.162205236,327.1421634,0.327142163,4.183292418,440.7377653,399.4089291,131.7886087,158.2474936,171.3046735,447.9974758
