S/N,NAMES,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,WOOD.DENSITY,COUNT,PLOT
2503,Beech,Fagus sylvatica,25.3,50.2,7.5,0.67,1,P8
2504,Yew,Taxus baccata,28.9,55.2,9.6,0.64,1,P8
2505,Poplar,Populus tremula,29.7,60.1,3.8,0.42,1,P8
2506,Larch,Larix decidua,22.6,40.9,8.1,0.59,1,P8
2507,Poplar,Populus tremula,24.3,48.8,3.3,0.42,1,P8
2508,Fir,Abies alba,23.5,67.9,8.5,0.42,1,P8
2509,Pine,Pinus sylvestris,31.4,69.6,6.5,0.45,1,P8
2510,Yew,Taxus baccata,32.8,82.3,8.1,0.64,1,P8
2511,Larch,Larix decidua,40.5,80.4,10.7,0.59,1,P8
2512,Willow,Salix alba,26.0,56.6,4.3,0.47,1,P8
2513,Yew,Taxus baccata,29.7,49.4,6.2,0.64,1,P8
2514,Spruce,Picea abies,20.6,43.0,9.5,0.43,1,P8
2515,Walnut,Juglans regia,26.5,59.0,4.2,0.61,1,P8
2516,Willow,Salix alba,26.9,54.9,3.3,0.47,1,P8
2517,Larch,Larix decidua,22.0,49.9,5.6,0.59,1,P8
2518,Locust,Robinia pseudoacacia,28.2,46.1,6.8,0.69,1,P8
2519,Magnolia,Magnolia grandiflora,23.5,64.0,6.2,0.6,1,P8
2520,Maple,Acer saccharum,29.3,69.7,5.6,0.71,1,P8
2521,Hemlock,Tsuga canadensis,29.6,62.7,9.7,0.45,1,P8
2522,Hemlock,Tsuga canadensis,39.6,76.1,11.5,0.45,1,P8
2523,Poplar,Populus tremula,24.1,62.4,4.3,0.42,1,P8
2524,Fir,Abies alba,32.7,57.5,5.5,0.42,1,P8
2525,Oak,Quercus robur,30.2,77.1,8.4,0.7,1,P8
2526,Birch,Betula pendula,24.7,49.8,4.5,0.67,1,P8
2527,Cherry,Prunus avium,29.4,50.9,8.6,0.72,1,P8
2528,Larch,Larix decidua,28.6,42.2,9.4,0.59,1,P8
2529,Oak,Quercus robur,23.6,41.8,6.4,0.7,1,P8
2530,Spruce,Picea abies,33.8,56.8,4.2,0.43,1,P8
2531,Yew,Taxus baccata,28.3,51.9,5.1,0.64,1,P8
2532,Spruce,Picea abies,21.2,42.0,3.7,0.43,1,P8
2533,Spruce,Picea abies,25.6,42.9,7.9,0.43,1,P8
2534,Oak,Quercus robur,37.8,74.8,12.3,0.7,1,P8
2535,Hemlock,Tsuga canadensis,21.5,42.5,6.6,0.45,1,P8
2536,Spruce,Picea abies,25.4,40.8,6.6,0.43,1,P8
2537,Yew,Taxus baccata,29.1,55.9,4.2,0.64,1,P8
2538,Redwood,Sequoia sempervirens,20.3,52.8,6.5,0.48,1,P8
2539,Spruce,Picea abies,26.8,45.9,10.6,0.43,1,P8
2540,Beech,Fagus sylvatica,27.1,68.8,7.2,0.67,1,P8
2541,Beech,Fagus sylvatica,37.5,67.3,20.2,0.67,1,P8
2542,Maple,Acer saccharum,31.4,57.8,8.3,0.71,1,P8
2543,Hemlock,Tsuga canadensis,38.6,70.1,10.7,0.45,1,P8
2544,Hemlock,Tsuga canadensis,28.7,49.6,5.7,0.45,1,P8
2545,Poplar,Populus tremula,32.0,59.6,7.4,0.42,1,P8
2546,Larch,Larix decidua,29.5,41.8,7.3,0.59,1,P8
2547,Magnolia,Magnolia grandiflora,27.2,75.8,8.7,0.6,1,P8
2548,Magnolia,Magnolia grandiflora,27.2,43.4,7.6,0.6,1,P8
2549,Locust,Robinia pseudoacacia,27.1,70.1,7.3,0.69,1,P8
2550,Poplar,Populus tremula,37.9,81.9,12.2,0.42,1,P8
2551,Spruce,Picea abies,22.6,46.3,3.2,0.43,1,P8
2552,Spruce,Picea abies,23.0,59.2,5.4,0.43,1,P8
2553,Fir,Abies alba,29.5,53.2,6.8,0.42,1,P8
2554,Yew,Taxus baccata,26.7,56.5,9.0,0.64,1,P8
2555,Cedar,Cedrus libani,29.5,60.4,6.0,0.56,1,P8
2556,Hemlock,Tsuga canadensis,26.2,61.8,13.8,0.45,1,P8
2557,Ash,Fraxinus excelsior,34.2,61.5,14.6,0.67,1,P8
2558,Yew,Taxus baccata,25.4,63.7,5.4,0.64,1,P8
2559,Yew,Taxus baccata,21.5,69.6,5.5,0.64,1,P8
2560,Fir,Abies alba,31.8,41.0,4.5,0.42,1,P8
2561,Yew,Taxus baccata,32.7,61.6,5.8,0.64,1,P8
2562,Fir,Abies alba,26.6,69.5,8.2,0.42,1,P8
2563,Maple,Acer saccharum,22.8,43.5,4.0,0.71,1,P8
2564,Pine,Pinus sylvestris,28.5,53.1,6.7,0.45,1,P8
2565,Willow,Salix alba,21.3,45.2,8.0,0.47,1,P8
2566,Poplar,Populus tremula,26.5,63.6,5.9,0.42,1,P8
2567,Maple,Acer saccharum,21.0,46.4,4.4,0.71,1,P8
2568,Willow,Salix alba,29.7,65.6,7.1,0.47,1,P8
2569,Birch,Betula pendula,23.1,44.4,5.2,0.67,1,P8
2570,Maple,Acer saccharum,21.9,53.1,6.1,0.71,1,P8
2571,Maple,Acer saccharum,21.8,46.3,5.8,0.71,1,P8
2572,Larch,Larix decidua,26.4,56.1,7.4,0.59,1,P8
2573,Oak,Quercus robur,20.5,53.1,8.1,0.7,1,P8
2574,Ash,Fraxinus excelsior,20.5,44.5,4.1,0.67,1,P8
2575,Poplar,Populus tremula,27.6,50.3,4.6,0.42,1,P8
2576,Redwood,Sequoia sempervirens,30.8,50.9,7.3,0.48,1,P8
2577,Birch,Betula pendula,23.3,44.0,9.2,0.67,1,P8
2578,Poplar,Populus tremula,36.5,73.0,10.4,0.42,1,P8
2579,Locust,Robinia pseudoacacia,30.6,42.9,9.2,0.69,1,P8
2580,Maple,Acer saccharum,22.5,46.6,3.6,0.71,1,P8
2581,Spruce,Picea abies,35.8,56.8,7.4,0.43,1,P8
2582,Poplar,Populus tremula,23.5,46.5,5.2,0.42,1,P8
2583,Redwood,Sequoia sempervirens,27.8,57.0,3.5,0.48,1,P8
2584,Walnut,Juglans regia,22.7,62.2,3.4,0.61,1,P8
2585,Cedar,Cedrus libani,28.3,45.9,6.1,0.56,1,P8
2586,Magnolia,Magnolia grandiflora,25.7,55.6,4.5,0.6,1,P8
2587,Hemlock,Tsuga canadensis,35.3,50.5,9.9,0.45,1,P8
2588,Willow,Salix alba,37.3,80.4,7.4,0.47,1,P8
2589,Walnut,Juglans regia,23.4,57.0,3.4,0.61,1,P8
2590,Locust,Robinia pseudoacacia,26.5,41.3,9.5,0.69,1,P8
2591,Maple,Acer saccharum,27.7,50.8,5.0,0.71,1,P8
2592,Willow,Salix alba,27.1,74.3,7.5,0.47,1,P8
2593,Pine,Pinus sylvestris,40.0,78.7,13.0,0.45,1,P8
2594,Redwood,Sequoia sempervirens,20.9,73.5,4.0,0.48,1,P8
2595,Birch,Betula pendula,40.5,79.6,9.6,0.67,1,P8
2596,Cypress,Cupressus sempervirens,29.9,57.9,10.3,0.47,1,P8
2597,Cherry,Prunus avium,23.6,59.3,4.9,0.72,1,P8
2598,Oak,Quercus robur,21.8,41.7,8.3,0.7,1,P8
2599,Locust,Robinia pseudoacacia,39.2,60.4,8.0,0.69,1,P8
2600,Hemlock,Tsuga canadensis,29.0,65.8,3.8,0.45,1,P8
2601,Larch,Larix decidua,33.6,64.4,12.5,0.59,1,P8
2602,Maple,Acer saccharum,30.0,59.1,5.9,0.71,1,P8
2603,Cedar,Cedrus libani,31.3,75.4,5.1,0.56,1,P8
2604,Spruce,Picea abies,29.1,57.2,6.3,0.43,1,P8
2605,Fir,Abies alba,34.7,71.0,8.8,0.42,1,P8
2606,Yew,Taxus baccata,40.6,77.6,9.7,0.64,1,P8
2607,Maple,Acer saccharum,20.9,62.7,4.9,0.71,1,P8
2608,Pine,Pinus sylvestris,38.0,76.8,8.4,0.45,1,P8
2609,Poplar,Populus tremula,24.2,41.6,6.2,0.42,1,P8
2610,Poplar,Populus tremula,21.2,40.8,4.1,0.42,1,P8
2611,Beech,Fagus sylvatica,38.6,93.2,14.5,0.67,1,P8
2612,Poplar,Populus tremula,20.3,43.3,3.4,0.42,1,P8
2613,Magnolia,Magnolia grandiflora,21.7,57.8,5.9,0.6,1,P8
2614,Cherry,Prunus avium,33.9,51.8,5.2,0.72,1,P8
2615,Cypress,Cupressus sempervirens,22.1,54.7,4.4,0.47,1,P8
2616,Pine,Pinus sylvestris,28.3,70.7,3.1,0.45,1,P8
2617,Magnolia,Magnolia grandiflora,32.9,85.1,9.2,0.6,1,P8
2618,Spruce,Picea abies,39.7,102.8,13.9,0.43,1,P8
2619,Redwood,Sequoia sempervirens,25.0,64.3,4.7,0.48,1,P8
2620,Pine,Pinus sylvestris,27.3,63.7,6.6,0.45,1,P8
2621,Fir,Abies alba,34.2,51.3,8.9,0.42,1,P8
2622,Ash,Fraxinus excelsior,29.4,41.6,3.3,0.67,1,P8
2623,Hemlock,Tsuga canadensis,35.3,62.0,9.7,0.45,1,P8
2624,Oak,Quercus robur,35.4,70.5,8.1,0.7,1,P8
2625,Beech,Fagus sylvatica,23.6,45.3,10.5,0.67,1,P8
2626,Poplar,Populus tremula,23.0,45.1,4.3,0.42,1,P8
2627,Cedar,Cedrus libani,28.7,62.7,7.5,0.56,1,P8
2628,Poplar,Populus tremula,20.6,42.3,6.0,0.42,1,P8
2629,Cherry,Prunus avium,35.8,48.3,8.7,0.72,1,P8
2630,Maple,Acer saccharum,29.5,43.3,3.4,0.71,1,P8
2631,Ash,Fraxinus excelsior,23.6,56.7,3.0,0.67,1,P8
2632,Fir,Abies alba,23.0,54.3,4.7,0.42,1,P8
2633,Walnut,Juglans regia,26.5,59.6,9.7,0.61,1,P8
2634,Cedar,Cedrus libani,24.3,46.3,5.6,0.56,1,P8
2635,Fir,Abies alba,32.1,54.5,8.6,0.42,1,P8
2636,Cherry,Prunus avium,34.5,66.0,12.0,0.72,1,P8
2637,Locust,Robinia pseudoacacia,35.2,57.0,6.4,0.69,1,P8
2638,Locust,Robinia pseudoacacia,28.6,44.7,3.3,0.69,1,P8
2639,Cherry,Prunus avium,26.6,50.9,4.7,0.72,1,P8
2640,Pine,Pinus sylvestris,27.8,61.1,5.6,0.45,1,P8
2641,Maple,Acer saccharum,29.4,63.4,9.9,0.71,1,P8
2642,Willow,Salix alba,21.8,46.0,4.1,0.47,1,P8
2643,Larch,Larix decidua,29.0,50.9,7.1,0.59,1,P8
2644,Birch,Betula pendula,30.6,51.0,9.6,0.67,1,P8
2645,Yew,Taxus baccata,27.1,46.1,7.9,0.64,1,P8
2646,Hemlock,Tsuga canadensis,25.5,40.0,10.0,0.45,1,P8
2647,Cherry,Prunus avium,23.8,45.5,5.6,0.72,1,P8
2648,Redwood,Sequoia sempervirens,27.9,60.0,7.5,0.48,1,P8
2649,Larch,Larix decidua,21.5,51.4,5.8,0.59,1,P8
2650,Magnolia,Magnolia grandiflora,26.1,40.8,6.9,0.6,1,P8
2651,Willow,Salix alba,28.8,48.6,3.3,0.47,1,P8
2652,Cedar,Cedrus libani,26.4,68.5,7.6,0.56,1,P8
2653,Ash,Fraxinus excelsior,30.0,78.8,5.7,0.67,1,P8
2654,Oak,Quercus robur,34.5,68.8,9.1,0.7,1,P8
2655,Magnolia,Magnolia grandiflora,22.6,47.2,5.1,0.6,1,P8
2656,Redwood,Sequoia sempervirens,21.0,56.0,4.2,0.48,1,P8
2657,Redwood,Sequoia sempervirens,20.8,44.2,5.5,0.48,1,P8
2658,Willow,Salix alba,22.6,42.3,4.6,0.47,1,P8
2659,Hemlock,Tsuga canadensis,22.2,53.6,6.0,0.45,1,P8
2660,Walnut,Juglans regia,21.7,40.7,3.9,0.61,1,P8
2661,Ash,Fraxinus excelsior,20.5,58.2,7.3,0.67,1,P9
2662,Locust,Robinia pseudoacacia,23.2,51.3,3.2,0.69,1,P9
2663,Cedar,Cedrus libani,28.3,61.5,9.1,0.56,1,P9
2664,Redwood,Sequoia sempervirens,22.4,50.5,6.3,0.48,1,P9
2665,Magnolia,Magnolia grandiflora,39.1,66.0,11.1,0.6,1,P9
2666,Pine,Pinus sylvestris,23.8,45.6,5.0,0.45,1,P9
2667,Willow,Salix alba,27.4,43.7,4.5,0.47,1,P9
2668,Magnolia,Magnolia grandiflora,30.1,47.1,13.2,0.6,1,P9
2669,Maple,Acer saccharum,20.7,40.7,3.3,0.71,1,P9
2670,Pine,Pinus sylvestris,35.1,79.5,12.4,0.45,1,P9
2671,Locust,Robinia pseudoacacia,20.6,42.2,3.8,0.69,1,P9
2672,Maple,Acer saccharum,31.0,45.9,12.6,0.71,1,P9
2673,Larch,Larix decidua,32.7,41.2,10.3,0.59,1,P9
2674,Redwood,Sequoia sempervirens,27.2,60.1,8.6,0.48,1,P9
2675,Larch,Larix decidua,23.1,59.9,7.6,0.59,1,P9
2676,Birch,Betula pendula,32.4,64.2,6.4,0.67,1,P9
2677,Maple,Acer saccharum,29.2,58.5,5.2,0.71,1,P9
2678,Poplar,Populus tremula,21.8,60.9,3.0,0.42,1,P9
2679,Ash,Fraxinus excelsior,26.6,41.2,9.3,0.67,1,P9
2680,Larch,Larix decidua,26.3,75.2,3.4,0.59,1,P9
2681,Maple,Acer saccharum,26.0,58.6,4.5,0.71,1,P9
2682,Cedar,Cedrus libani,21.0,69.4,6.7,0.56,1,P9
2683,Hemlock,Tsuga canadensis,28.7,50.8,3.0,0.45,1,P9
2684,Locust,Robinia pseudoacacia,33.5,67.5,5.5,0.69,1,P9
2685,Cherry,Prunus avium,27.0,59.5,7.3,0.72,1,P9
2686,Oak,Quercus robur,42.2,75.6,13.0,0.7,1,P9
2687,Cypress,Cupressus sempervirens,24.3,58.2,3.6,0.47,1,P9
2688,Hemlock,Tsuga canadensis,32.3,62.3,11.2,0.45,1,P9
2689,Ash,Fraxinus excelsior,40.2,80.6,9.7,0.67,1,P9
2690,Magnolia,Magnolia grandiflora,20.6,46.4,4.5,0.6,1,P9
2691,Cedar,Cedrus libani,34.9,72.0,8.7,0.56,1,P9
2692,Spruce,Picea abies,32.2,78.4,9.9,0.43,1,P9
2693,Ash,Fraxinus excelsior,30.0,52.1,3.4,0.67,1,P9
2694,Beech,Fagus sylvatica,25.8,52.9,6.5,0.67,1,P9
2695,Walnut,Juglans regia,25.4,53.6,4.3,0.61,1,P9
2696,Willow,Salix alba,26.3,45.1,10.9,0.47,1,P9
2697,Walnut,Juglans regia,38.9,84.2,17.9,0.61,1,P9
2698,Locust,Robinia pseudoacacia,25.7,49.3,5.8,0.69,1,P9
2699,Magnolia,Magnolia grandiflora,22.2,53.9,4.0,0.6,1,P9
2700,Cypress,Cupressus sempervirens,31.6,48.8,5.1,0.47,1,P9
2701,Cedar,Cedrus libani,42.1,63.9,13.6,0.56,1,P9
2702,Pine,Pinus sylvestris,22.8,70.7,6.3,0.45,1,P9
2703,Birch,Betula pendula,31.4,61.3,14.8,0.67,1,P9
2704,Redwood,Sequoia sempervirens,25.1,50.8,3.3,0.48,1,P9
2705,Beech,Fagus sylvatica,25.7,67.8,5.6,0.67,1,P9
2706,Maple,Acer saccharum,22.2,55.6,5.1,0.71,1,P9
2707,Ash,Fraxinus excelsior,29.4,40.3,4.6,0.67,1,P9
2708,Cedar,Cedrus libani,25.3,43.5,8.2,0.56,1,P9
2709,Locust,Robinia pseudoacacia,28.0,63.8,7.2,0.69,1,P9
2710,Redwood,Sequoia sempervirens,21.4,72.6,3.3,0.48,1,P9
2711,Locust,Robinia pseudoacacia,22.6,57.5,6.6,0.69,1,P9
2712,Larch,Larix decidua,34.4,70.5,8.8,0.59,1,P9
2713,Walnut,Juglans regia,23.5,63.8,6.1,0.61,1,P9
2714,Magnolia,Magnolia grandiflora,23.9,44.8,4.9,0.6,1,P9
2715,Walnut,Juglans regia,21.1,42.4,6.1,0.61,1,P9
2716,Willow,Salix alba,21.3,51.9,3.9,0.47,1,P9
2717,Larch,Larix decidua,33.5,59.3,9.2,0.59,1,P9
2718,Yew,Taxus baccata,21.2,58.9,3.6,0.64,1,P9
2719,Locust,Robinia pseudoacacia,35.9,65.3,9.0,0.69,1,P9
2720,Oak,Quercus robur,22.1,62.2,5.4,0.7,1,P9
2721,Willow,Salix alba,36.9,64.4,7.0,0.47,1,P9
2722,Ash,Fraxinus excelsior,25.2,51.7,5.7,0.67,1,P9
2723,Larch,Larix decidua,23.5,71.0,10.1,0.59,1,P9
2724,Magnolia,Magnolia grandiflora,21.9,61.7,3.8,0.6,1,P9
2725,Beech,Fagus sylvatica,30.6,62.3,9.2,0.67,1,P9
2726,Magnolia,Magnolia grandiflora,24.6,71.0,6.1,0.6,1,P9
2727,Locust,Robinia pseudoacacia,23.9,49.1,6.2,0.69,1,P9
2728,Redwood,Sequoia sempervirens,21.4,49.1,3.3,0.48,1,P9
2729,Hemlock,Tsuga canadensis,31.2,52.1,3.6,0.45,1,P9
2730,Magnolia,Magnolia grandiflora,27.9,48.7,8.6,0.6,1,P9
2731,Spruce,Picea abies,37.1,79.1,8.1,0.43,1,P9
2732,Cypress,Cupressus sempervirens,31.0,42.5,10.5,0.47,1,P9
2733,Locust,Robinia pseudoacacia,27.0,66.4,3.8,0.69,1,P9
2734,Spruce,Picea abies,21.7,52.4,4.2,0.43,1,P9
2735,Larch,Larix decidua,22.5,60.5,6.9,0.59,1,P9
2736,Larch,Larix decidua,31.1,47.5,4.6,0.59,1,P9
2737,Cypress,Cupressus sempervirens,34.1,75.0,9.3,0.47,1,P9
2738,Hemlock,Tsuga canadensis,32.1,61.6,3.2,0.45,1,P9
2739,Hemlock,Tsuga canadensis,28.5,43.8,3.6,0.45,1,P9
2740,Yew,Taxus baccata,24.6,40.9,8.2,0.64,1,P9
2741,Hemlock,Tsuga canadensis,28.0,40.9,5.2,0.45,1,P9
2742,Beech,Fagus sylvatica,24.3,48.9,3.6,0.67,1,P9
2743,Yew,Taxus baccata,20.4,55.0,3.2,0.64,1,P9
2744,Cypress,Cupressus sempervirens,32.4,52.8,10.5,0.47,1,P9
2745,Hemlock,Tsuga canadensis,44.4,86.8,11.2,0.45,1,P9
2746,Cherry,Prunus avium,34.4,42.5,4.7,0.72,1,P9
2747,Locust,Robinia pseudoacacia,21.1,51.1,7.0,0.69,1,P9
2748,Cedar,Cedrus libani,35.0,48.1,11.1,0.56,1,P9
2749,Fir,Abies alba,25.6,74.2,14.2,0.42,1,P9
2750,Cedar,Cedrus libani,23.6,54.9,8.1,0.56,1,P9
2751,Ash,Fraxinus excelsior,29.2,67.4,7.0,0.67,1,P9
2752,Cypress,Cupressus sempervirens,30.5,54.1,6.5,0.47,1,P9
2753,Yew,Taxus baccata,28.1,41.1,10.7,0.64,1,P9
2754,Willow,Salix alba,38.9,72.6,11.1,0.47,1,P9
2755,Cedar,Cedrus libani,26.9,60.4,6.2,0.56,1,P9
2756,Beech,Fagus sylvatica,25.1,48.8,4.0,0.67,1,P9
2757,Cedar,Cedrus libani,29.2,65.4,5.1,0.56,1,P9
2758,Cherry,Prunus avium,41.6,57.5,5.8,0.72,1,P9
2759,Locust,Robinia pseudoacacia,30.9,51.2,4.6,0.69,1,P9
2760,Willow,Salix alba,36.0,91.6,14.3,0.47,1,P9
2761,Magnolia,Magnolia grandiflora,27.1,52.7,5.2,0.6,1,P9
2762,Spruce,Picea abies,24.1,42.2,3.6,0.43,1,P9
2763,Birch,Betula pendula,29.0,62.0,8.3,0.67,1,P9
2764,Cedar,Cedrus libani,21.9,61.0,5.4,0.56,1,P9
2765,Poplar,Populus tremula,35.4,64.1,4.8,0.42,1,P9
2766,Maple,Acer saccharum,26.4,52.5,7.8,0.71,1,P9
2767,Fir,Abies alba,25.1,47.2,3.2,0.42,1,P9
2768,Maple,Acer saccharum,28.9,56.6,5.6,0.71,1,P9
2769,Maple,Acer saccharum,23.8,50.1,4.3,0.71,1,P9
2770,Maple,Acer saccharum,32.8,65.7,12.2,0.71,1,P9
2771,Poplar,Populus tremula,26.7,57.6,5.5,0.42,1,P9
2772,Poplar,Populus tremula,43.5,79.0,11.1,0.42,1,P9
2773,Beech,Fagus sylvatica,27.5,51.0,4.5,0.67,1,P9
2774,Willow,Salix alba,32.4,42.8,4.9,0.47,1,P9
2775,Ash,Fraxinus excelsior,20.3,48.3,6.4,0.67,1,P9
2776,Maple,Acer saccharum,30.1,70.1,9.8,0.71,1,P9
2777,Larch,Larix decidua,29.9,67.8,6.2,0.59,1,P9
2778,Maple,Acer saccharum,24.1,49.7,6.0,0.71,1,P9
2779,Willow,Salix alba,20.2,45.4,3.3,0.47,1,P9
2780,Beech,Fagus sylvatica,26.0,41.3,7.3,0.67,1,P9
2781,Willow,Salix alba,20.6,45.6,4.4,0.47,1,P9
2782,Cypress,Cupressus sempervirens,23.9,45.3,6.2,0.47,1,P9
2783,Maple,Acer saccharum,30.1,57.8,6.8,0.71,1,P9
2784,Fir,Abies alba,20.4,45.9,5.5,0.42,1,P9
2785,Beech,Fagus sylvatica,25.3,53.0,7.2,0.67,1,P9
2786,Walnut,Juglans regia,43.0,77.6,16.2,0.61,1,P9
2787,Birch,Betula pendula,26.2,42.4,6.4,0.67,1,P9
2788,Walnut,Juglans regia,36.4,48.0,5.1,0.61,1,P9
2789,Cedar,Cedrus libani,27.1,65.6,5.9,0.56,1,P9
2790,Spruce,Picea abies,25.5,44.4,3.9,0.43,1,P9
2791,Walnut,Juglans regia,28.8,63.7,4.0,0.61,1,P9
2792,Magnolia,Magnolia grandiflora,25.2,52.5,4.1,0.6,1,P9
2793,Pine,Pinus sylvestris,21.6,42.8,3.7,0.45,1,P9
2794,Walnut,Juglans regia,22.5,46.4,7.2,0.61,1,P9
2795,Cedar,Cedrus libani,20.8,42.2,7.8,0.56,1,P9
2796,Spruce,Picea abies,25.6,54.8,4.9,0.43,1,P9
2797,Birch,Betula pendula,30.5,43.8,5.7,0.67,1,P9
2798,Cypress,Cupressus sempervirens,22.2,46.5,5.1,0.47,1,P9
2799,Cedar,Cedrus libani,22.5,51.4,4.8,0.56,1,P9
2800,Poplar,Populus tremula,24.1,43.1,4.5,0.42,1,P9
2801,Maple,Acer saccharum,27.1,47.6,5.6,0.71,1,P9
2802,Hemlock,Tsuga canadensis,29.6,62.1,7.9,0.45,1,P9
2803,Oak,Quercus robur,34.5,66.2,8.9,0.7,1,P9
2804,Pine,Pinus sylvestris,32.2,83.5,12.2,0.45,1,P9
2805,Fir,Abies alba,20.8,41.7,8.5,0.42,1,P9
2806,Beech,Fagus sylvatica,25.5,49.5,3.3,0.67,1,P9
2807,Cedar,Cedrus libani,24.1,43.0,5.5,0.56,1,P9
2808,Pine,Pinus sylvestris,28.2,51.2,6.9,0.45,1,P9
2809,Maple,Acer saccharum,26.1,48.1,5.3,0.71,1,P9
2810,Maple,Acer saccharum,23.7,51.2,4.8,0.71,1,P9
2811,Poplar,Populus tremula,24.8,42.7,3.5,0.42,1,P9
2812,Cedar,Cedrus libani,20.1,51.3,7.2,0.56,1,P9
2813,Hemlock,Tsuga canadensis,23.4,43.3,8.8,0.45,1,P9
2814,Cedar,Cedrus libani,21.9,41.0,3.7,0.56,1,P9
2815,Yew,Taxus baccata,32.0,43.5,14.1,0.64,1,P9
2816,Cherry,Prunus avium,32.9,42.7,11.3,0.72,1,P9
2817,Cypress,Cupressus sempervirens,24.6,41.4,3.2,0.47,1,P9
2818,Locust,Robinia pseudoacacia,24.3,48.3,4.4,0.69,1,P9
2819,Walnut,Juglans regia,33.9,53.6,7.4,0.61,1,P9
2820,Oak,Quercus robur,32.2,40.9,10.8,0.7,1,P9
2821,Cherry,Prunus avium,21.1,41.8,3.5,0.72,1,P9
2822,Yew,Taxus baccata,32.6,57.6,11.4,0.64,1,P9
2823,Ash,Fraxinus excelsior,25.8,47.1,6.5,0.67,1,P9
2824,Maple,Acer saccharum,31.2,57.5,8.2,0.71,1,P9
2825,Birch,Betula pendula,30.4,57.3,7.7,0.67,1,P9
2826,Beech,Fagus sylvatica,44.3,84.5,14.8,0.67,1,P9
2827,Poplar,Populus tremula,27.7,62.3,3.2,0.42,1,P9
2828,Locust,Robinia pseudoacacia,23.1,40.5,5.8,0.69,1,P9
2829,Cherry,Prunus avium,26.0,45.2,3.5,0.72,1,P9
2830,Yew,Taxus baccata,44.6,90.2,15.5,0.64,1,P9
2831,Willow,Salix alba,41.9,73.3,15.8,0.47,1,P9
2832,Magnolia,Magnolia grandiflora,25.0,50.8,4.9,0.6,1,P9
2833,Willow,Salix alba,29.8,65.6,8.3,0.47,1,P9
2834,Magnolia,Magnolia grandiflora,21.3,41.6,7.3,0.6,1,P9
2835,Oak,Quercus robur,26.2,48.4,5.7,0.7,1,P9
2836,Cedar,Cedrus libani,27.9,51.6,6.2,0.56,1,P9
2837,Yew,Taxus baccata,32.5,83.5,11.2,0.64,1,P9
2838,Spruce,Picea abies,20.9,40.7,6.0,0.43,1,P9
2839,Spruce,Picea abies,43.6,86.7,12.5,0.43,1,P9
2840,Cypress,Cupressus sempervirens,27.0,56.3,6.8,0.47,1,P9
2841,Fir,Abies alba,35.1,63.1,7.1,0.42,1,P9
2842,Cedar,Cedrus libani,27.1,47.7,7.9,0.56,1,P9
2843,Beech,Fagus sylvatica,20.9,40.4,6.5,0.67,1,P9
2844,Pine,Pinus sylvestris,25.9,52.4,4.9,0.45,1,P9
2845,Fir,Abies alba,22.1,49.8,9.3,0.42,1,P9
2846,Cherry,Prunus avium,24.8,58.0,6.3,0.72,1,P9
2847,Cherry,Prunus avium,28.0,58.7,6.0,0.72,1,P9
2848,Willow,Salix alba,28.1,44.4,6.4,0.47,1,P9
2849,Yew,Taxus baccata,26.2,51.7,5.9,0.64,1,P9
2850,Oak,Quercus robur,31.0,77.0,6.0,0.7,1,P9
2851,Pine,Pinus sylvestris,21.8,55.1,3.0,0.45,1,P9
2852,Walnut,Juglans regia,28.3,43.3,12.4,0.61,1,P9
2853,Yew,Taxus baccata,20.6,52.5,5.4,0.64,1,P9
2854,Cedar,Cedrus libani,27.4,54.9,5.9,0.56,1,P9
2855,Magnolia,Magnolia grandiflora,41.0,71.8,15.3,0.6,1,P9
2856,Poplar,Populus tremula,33.5,80.7,12.9,0.42,1,P9
2857,Oak,Quercus robur,21.2,70.5,3.1,0.7,1,P9
2858,Ash,Fraxinus excelsior,25.7,54.0,4.2,0.67,1,P9
2859,Larch,Larix decidua,27.8,52.8,5.6,0.59,1,P9
2860,Redwood,Sequoia sempervirens,23.2,63.9,5.0,0.48,1,P9
2861,Birch,Betula pendula,22.5,43.5,4.2,0.67,1,P9
2862,Pine,Pinus sylvestris,23.3,51.4,3.7,0.45,1,P9
2863,Spruce,Picea abies,26.5,70.7,3.9,0.43,1,P9
2864,Fir,Abies alba,32.3,63.3,7.6,0.42,1,P9
2865,Beech,Fagus sylvatica,22.5,40.4,5.4,0.67,1,P9
2866,Cherry,Prunus avium,22.7,58.4,3.2,0.72,1,P9
2867,Cherry,Prunus avium,20.8,52.1,6.7,0.72,1,P9
2868,Cedar,Cedrus libani,20.5,46.6,5.4,0.56,1,P9
2869,Pine,Pinus sylvestris,38.0,72.5,8.4,0.45,1,P9
2870,Cherry,Prunus avium,29.8,62.3,7.8,0.72,1,P9
2871,Hemlock,Tsuga canadensis,41.8,96.4,11.9,0.45,1,P9
2872,Ash,Fraxinus excelsior,25.0,61.2,5.9,0.67,1,P9
2873,Pine,Pinus sylvestris,20.5,43.1,6.0,0.45,1,P9
2874,Spruce,Picea abies,44.0,75.3,10.5,0.43,1,P9
2875,Cherry,Prunus avium,21.1,54.3,9.2,0.72,1,P9
2876,Locust,Robinia pseudoacacia,26.2,49.4,7.6,0.69,1,P9
2877,Cedar,Cedrus libani,23.7,52.1,5.1,0.56,1,P9
2878,Cypress,Cupressus sempervirens,30.0,40.4,3.6,0.47,1,P9
